Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,AEV
A01,FAM,Cg_18s(1408/9),Unkn,NTC1_ctenidia,,23.21049061,23.21049061,27733.21562
A02,FAM,Cg_18s(1408/9),Unkn,NTC2_ctenidia,,20.65132137,20.65132137,163614.5806
A03,FAM,Cg_18s(1408/9),Unkn,NTH1_ctenidia,,21.28731644,21.28731644,105259.2541
A04,FAM,Cg_18s(1408/9),Unkn,NTH2_ctenidia,,21.32813418,21.32813418,102321.2849
A05,FAM,Cg_18s(1408/9),Unkn,NTHM1_ctenidia,,21.93468865,21.93468865,67184.91602
A06,FAM,Cg_18s(1408/9),Unkn,NTHM2_ctenidia,,21.67292285,21.67292285,80559.29141
A07,FAM,Cg_18s(1408/9),Unkn,NTM1_ctenidia,,22.8621997,22.8621997,35310.62872
A08,FAM,Cg_18s(1408/9),Unkn,NTM2_ctendia,,21.13853763,21.13853763,116700.4326
A09,FAM,Cg_18s(1408/9),Unkn,TC1_ctenidia,,21.70450388,21.70450388,78814.01121
A10,FAM,Cg_18s(1408/9),Unkn,TC2_ctendia,,21.91221923,21.91221923,68240.08638
A11,FAM,Cg_18s(1408/9),Unkn,TH1_ctenidia,,23.45517885,23.45517885,23404.54111
A12,FAM,Cg_18s(1408/9),Unkn,TH2_ctenidia,,22.3557543,22.3557543,50170.31235
B01,FAM,Cg_18s(1408/9),Unkn,THM1_ctenidia,,24.66915182,24.66915182,10084.4327
B02,FAM,Cg_18s(1408/9),Unkn,THM2_ctenidia,,22.43723891,22.43723891,47413.67738
B03,FAM,Cg_18s(1408/9),Unkn,TM1_ctendia,,22.29211562,22.29211562,52434.21557
B04,FAM,Cg_18s(1408/9),Unkn,TM2_ctenidia,,22.06644284,22.06644284,61317.9203
C01,FAM,Cg_ATPsynthase(1385/6),Unkn,NTC1_ctenidia,,26.69334202,26.69334202,2477.224597
C02,FAM,Cg_ATPsynthase(1385/6),Unkn,NTC2_ctenidia,,27.67047987,27.67047987,1257.915484
C03,FAM,Cg_ATPsynthase(1385/6),Unkn,NTH1_ctenidia,,26.77350665,26.77350665,2343.25632
C04,FAM,Cg_ATPsynthase(1385/6),Unkn,NTH2_ctenidia,,27.39914814,27.39914814,1518.366384
C05,FAM,Cg_ATPsynthase(1385/6),Unkn,NTHM1_ctenidia,,27.20647488,27.20647488,1735.440651
C06,FAM,Cg_ATPsynthase(1385/6),Unkn,NTHM2_ctenidia,,27.22151467,27.22151467,1717.432913
C07,FAM,Cg_ATPsynthase(1385/6),Unkn,NTM1_ctenidia,,26.28449109,26.28449109,3289.359067
C08,FAM,Cg_ATPsynthase(1385/6),Unkn,NTM2_ctendia,,27.04334896,27.04334896,1943.315404
C09,FAM,Cg_ATPsynthase(1385/6),Unkn,TC1_ctenidia,,28.87035435,28.87035435,547.330021
C10,FAM,Cg_ATPsynthase(1385/6),Unkn,TC2_ctendia,,28.22305009,28.22305009,857.4667984
C11,FAM,Cg_ATPsynthase(1385/6),Unkn,TH1_ctenidia,,28.71905584,28.71905584,607.8835359
C12,FAM,Cg_ATPsynthase(1385/6),Unkn,TH2_ctenidia,,27.78182039,27.78182039,1164.436201
D01,FAM,Cg_ATPsynthase(1385/6),Unkn,THM1_ctenidia,,28.60907904,28.60907904,656.0627698
D02,FAM,Cg_ATPsynthase(1385/6),Unkn,THM2_ctenidia,,27.70783545,27.70783545,1225.744526
D03,FAM,Cg_ATPsynthase(1385/6),Unkn,TM1_ctendia,,27.14407522,27.14407522,1812.193397
D04,FAM,Cg_ATPsynthase(1385/6),Unkn,TM2_ctenidia,,25.65429601,25.65429601,5092.441419
E01,FAM,Cg_citratesynthase(1383/4),Unkn,NTC1_ctenidia,,26.14320567,26.14320567,3627.993098
E02,FAM,Cg_citratesynthase(1383/4),Unkn,NTC2_ctenidia,,26.86000804,26.86000804,2206.813227
E03,FAM,Cg_citratesynthase(1383/4),Unkn,NTH1_ctenidia,,26.11234388,26.11234388,3706.483092
E04,FAM,Cg_citratesynthase(1383/4),Unkn,NTH2_ctenidia,,26.29140645,26.29140645,3273.620844
E05,FAM,Cg_citratesynthase(1383/4),Unkn,NTHM1_ctenidia,,25.57058363,25.57058363,5396.8483
E06,FAM,Cg_citratesynthase(1383/4),Unkn,NTHM2_ctenidia,,26.33735276,26.33735276,3170.949669
E07,FAM,Cg_citratesynthase(1383/4),Unkn,NTM1_ctenidia,,25.00223576,25.00223576,8004.359559
E08,FAM,Cg_citratesynthase(1383/4),Unkn,NTM2_ctendia,,26.01670566,26.01670566,3960.666319
E09,FAM,Cg_citratesynthase(1383/4),Unkn,TC1_ctenidia,,27.25196143,27.25196143,1681.5478
E10,FAM,Cg_citratesynthase(1383/4),Unkn,TC2_ctendia,,26.58929204,26.58929204,2662.595769
E11,FAM,Cg_citratesynthase(1383/4),Unkn,TH1_ctenidia,,27.69267704,27.69267704,1238.698682
E12,FAM,Cg_citratesynthase(1383/4),Unkn,TH2_ctenidia,,27.22723434,27.22723434,1710.633674
F01,FAM,Cg_citratesynthase(1383/4),Unkn,THM1_ctenidia,,27.30509117,27.30509117,1620.714582
F02,FAM,Cg_citratesynthase(1383/4),Unkn,THM2_ctenidia,,26.861714,26.861714,2204.203782
F03,FAM,Cg_citratesynthase(1383/4),Unkn,TM1_ctendia,,26.15611026,26.15611026,3595.668038
F04,FAM,Cg_citratesynthase(1383/4),Unkn,TM2_ctenidia,,25.33233968,25.33233968,6366.47867
G01,FAM,Cg_GAPDH(1172/3),Unkn,NTC1_ctenidia,,23.93587224,23.93587224,16769.3134
G02,FAM,Cg_GAPDH(1172/3),Unkn,NTC2_ctenidia,,24.68078722,24.68078722,10003.38282
G03,FAM,Cg_GAPDH(1172/3),Unkn,NTH1_ctenidia,,23.92692597,23.92692597,16873.68346
G04,FAM,Cg_GAPDH(1172/3),Unkn,NTH2_ctenidia,,25.0393189,25.0393189,7801.123393
G05,FAM,Cg_GAPDH(1172/3),Unkn,NTHM1_ctenidia,,24.11260134,24.11260134,14834.89499
G06,FAM,Cg_GAPDH(1172/3),Unkn,NTHM2_ctenidia,,24.13271204,24.13271204,14629.42085
G07,FAM,Cg_GAPDH(1172/3),Unkn,NTM1_ctenidia,,23.94555469,23.94555469,16657.08214
G08,FAM,Cg_GAPDH(1172/3),Unkn,NTM2_ctendia,,24.21774817,24.21774817,13791.58725
G09,FAM,Cg_GAPDH(1172/3),Unkn,TC1_ctenidia,,26.20461133,26.20461133,3476.730819
G10,FAM,Cg_GAPDH(1172/3),Unkn,TC2_ctendia,,25.05324025,25.05324025,7726.166032
G11,FAM,Cg_GAPDH(1172/3),Pos Ctrl,TH1_ctenidia,,26.13272351,26.13272351,3654.463922
G12,FAM,Cg_GAPDH(1172/3),Pos Ctrl,TH2_ctenidia,,25.18171387,25.18171387,7067.531981
H01,FAM,Cg_GAPDH(1172/3),Unkn,THM1_ctenidia,,25.90263548,25.90263548,4286.730623
H02,FAM,Cg_GAPDH(1172/3),Unkn,THM2_ctenidia,,24.91913236,24.91913236,8479.247913
H04,FAM,Cg_GAPDH(1172/3),Unkn,TM2_ctenidia,,23.59229444,23.59229444,21281.43528
