Well,Target,Treatment,Cq,AEV,History
A10,Cg_HSP70(598/9),heat::mech,29.74528379,298.3462081,naïve
A11,Cg_HSP70(598/9),heat::mech,32.16981553,55.52026909,naïve
A12,Cg_HSP70(598/9),mechanical,29.89659721,268.6240672,naïve
B01,Cg_HSP70(598/9),mechanical,31.08466786,117.8414399,naïve
B02,Cg_HSP70(598/9),control,30.36092225,194.6660507,tumbled
B03,Cg_HSP70(598/9),control,31.4482671,91.57605897,tumbled
B04,Cg_HSP70(598/9),heat,30.64174275,160.2164423,tumbled
C01,Cg_HSP90(1532/3),heat,26.62238668,2602.178786,tumbled
C02,Cg_HSP90(1532/3),heat::mech,26.50527552,2822.350934,tumbled
C03,Cg_HSP90(1532/3),heat::mech,25.68764069,4976.025808,tumbled
C04,Cg_HSP90(1532/3),mechanical,26.84398982,2231.46596,tumbled
C05,Cg_HSP90(1532/3),mechanical,26.12292212,3679.390286,tumbled
C06,Cg_HSP90(1532/3),control,26.45768875,2917.051849,naïve
C07,Cg_HSP90(1532/3),control,26.90644114,2136.878988,naïve
C08,Cg_HSP90(1532/3),heat,26.3837508,3070.536463,naïve
C09,Cg_HSP90(1532/3),heat,27.55742956,1360.511498,naïve
C10,Cg_HSP90(1532/3),heat::mech,25.24229656,6776.731457,naïve
C11,Cg_HSP90(1532/3),heat::mech,27.02948332,1962.093161,naïve
C12,Cg_HSP90(1532/3),mechanical,26.79132442,2314.478148,naïve
D01,Cg_HSP90(1532/3),mechanical,25.69559761,4948.64158,naïve
D02,Cg_HSP90(1532/3),control,26.75601428,2371.856984,tumbled
D03,Cg_HSP90(1532/3),control,25.25407671,6721.59119,tumbled
E01,Cg_VIPERIN(1828/9),heat,31.38620743,95.60361671,tumbled
E02,Cg_VIPERIN(1828/9),heat,33.24982264,26.2514575,tumbled
E03,Cg_VIPERIN(1828/9),heat::mech,32.02704598,61.29905097,tumbled
E04,Cg_VIPERIN(1828/9),heat::mech,31.81852513,70.83701152,tumbled
E05,Cg_VIPERIN(1828/9),mechanical,32.7667315,36.69952745,tumbled
E06,Cg_VIPERIN(1828/9),mechanical,32.02513601,61.38030382,tumbled
E07,Cg_VIPERIN(1828/9),control,30.3307762,198.7788659,naïve
E08,Cg_VIPERIN(1828/9),control,32.28304381,51.32715641,naïve
E09,Cg_VIPERIN(1828/9),heat,34.76868977,9.155259135,naïve
E10,Cg_VIPERIN(1828/9),heat,32.72683967,37.72905186,naïve
E11,Cg_VIPERIN(1828/9),heat::mech,34.37338666,12.04303471,naïve
E12,Cg_VIPERIN(1828/9),heat::mech,32.3652898,48.48135085,naïve
F01,Cg_VIPERIN(1828/9),mechanical,32.31367279,50.24834424,naïve
F02,Cg_VIPERIN(1828/9),mechanical,33.17865719,27.5796312,naïve
F03,Cg_VIPERIN(1828/9),control,32.40820826,47.05953939,tumbled
F04,Cg_VIPERIN(1828/9),control,32.2629539,52.04730962,tumbled
