Target,Subgroup,History,Cq,normCq,tar-ref,fold
Cg_HSP70(598/9),H,T,32.16981553,21.3095217,10.86029383,0.00053793
Cg_HSP70(598/9),H,T,29.89659721,22.0612124,7.83538481,0.004378387
Cg_HSP70(598/9),HM,T,31.08466786,20.305701,10.77896686,0.000569125
Cg_HSP70(598/9),HM,T,30.36092225,22.1788341,8.18208815,0.003443071
Cg_HSP70(598/9),M,T,31.4482671,20.6295556,10.8187115,0.00055366
Cg_HSP70(598/9),M,T,30.64174275,20.3750184,10.26672435,0.000811723
Cg_HSP90(1532/3),C,NT,26.62238668,21.2645197,5.35786698,0.02438492
Cg_HSP90(1532/3),C,NT,26.50527552,21.1272413,5.37803422,0.024046417
Cg_HSP90(1532/3),H,NT,25.68764069,21.3772082,4.31043249,0.050399999
Cg_HSP90(1532/3),H,NT,26.84398982,22.0279088,4.81608102,0.035498921
Cg_HSP90(1532/3),HM,NT,26.12292212,21.0417136,5.08120852,0.029539546
Cg_HSP90(1532/3),HM,NT,26.45768875,21.0674439,5.39024485,0.023843753
Cg_HSP90(1532/3),M,NT,26.90644114,20.7686739,6.13776724,0.014201949
Cg_HSP90(1532/3),M,NT,26.3837508,21.3493798,5.034371,0.030514294
Cg_HSP90(1532/3),C,T,27.55742956,22.9503022,4.60712736,0.041031413
Cg_HSP90(1532/3),C,T,25.24229656,21.5551198,3.68717676,0.077633505
Cg_HSP90(1532/3),H,T,27.02948332,21.3095217,5.71996162,0.0189723
Cg_HSP90(1532/3),H,T,26.79132442,22.0612124,4.73011202,0.037678569
Cg_HSP90(1532/3),HM,T,25.69559761,20.305701,5.38989661,0.023849509
Cg_HSP90(1532/3),HM,T,26.75601428,22.1788341,4.57718018,0.041892036
Cg_HSP90(1532/3),M,T,25.25407671,20.6295556,4.62452111,0.040539691
Cg_VIPERIN(1828/9),C,NT,31.38620743,21.2645197,10.12168773,0.00089757
Cg_VIPERIN(1828/9),C,NT,33.24982264,21.1272413,12.12258134,0.000224254
Cg_VIPERIN(1828/9),H,NT,32.02704598,21.3772082,10.64983778,0.000622414
Cg_VIPERIN(1828/9),H,NT,31.81852513,22.0279088,9.79061633,0.001129096
Cg_VIPERIN(1828/9),HM,NT,32.7667315,21.0417136,11.7250179,0.000295405
Cg_VIPERIN(1828/9),HM,NT,32.02513601,21.0674439,10.95769211,0.000502812
Cg_VIPERIN(1828/9),M,NT,30.3307762,20.7686739,9.5621023,0.00132288
Cg_VIPERIN(1828/9),M,NT,32.28304381,21.3493798,10.93366401,0.000511257
Cg_VIPERIN(1828/9),C,T,34.76868977,22.9503022,11.81838757,0.000276892
Cg_VIPERIN(1828/9),C,T,32.72683967,21.5551198,11.17171987,0.000433488
Cg_VIPERIN(1828/9),H,T,34.37338666,21.3095217,13.06386496,0.000116784
Cg_VIPERIN(1828/9),H,T,32.3652898,22.0612124,10.3040774,0.000790977
Cg_VIPERIN(1828/9),HM,T,32.31367279,20.305701,12.00797179,0.000242795
Cg_VIPERIN(1828/9),HM,T,33.17865719,22.1788341,10.99982309,0.000488341
Cg_VIPERIN(1828/9),M,T,32.40820826,20.6295556,11.77865266,0.000284624
Cg_VIPERIN(1828/9),M,T,32.2629539,20.3750184,11.8879355,0.000263861
Cg_Def(1160/1),C,NT,38.84470048,21.2645197,17.58018078,5.10315E-06
Cg_Def(1160/1),C,NT,37.34535333,21.1272413,16.21811203,1.31178E-05
Cg_Def(1160/1),H,NT,37.25942679,21.3772082,15.88221859,1.65568E-05
Cg_Def(1160/1),H,NT,38.3555452,22.0279088,16.3276364,1.21588E-05
Cg_Def(1160/1),HM,NT,36.79746277,21.0417136,15.75574917,1.80737E-05
Cg_Def(1160/1),HM,NT,38.70598096,21.0674439,17.63853706,4.90085E-06
Cg_Def(1160/1),M,NT,39.43836277,20.7686739,18.66968887,2.39808E-06
Cg_Def(1160/1),M,NT,38.1752822,21.3493798,16.8259024,8.60793E-06
Cg_Def(1160/1),C,T,39.47330757,22.9503022,16.52300537,1.06189E-05
Cg_Def(1160/1),C,T,39.07538325,21.5551198,17.52026345,5.31955E-06
Cg_Def(1160/1),H,T,44,21.3095217,22.6904783,1.47736E-07
Cg_Def(1160/1),H,T,34.11554573,22.0612124,12.05433333,0.000235117
Cg_Def(1160/1),HM,HM,44,20.305701,23.694299,7.36725E-08
Cg_Def(1160/1),HM,HM,44,22.1788341,21.8211659,2.69882E-07
Cg_Def(1160/1),M,T,44,20.6295556,23.3704444,9.22137E-08
Cg_Def(1160/1),M,T,39.21650747,20.3750184,18.84148907,2.12886E-06
