Well,Fluor,Target,Content,Subgroup,Sample,Biological Set Name,Cq,Cq Mean,History,AEV
A01,FAM,Cg_HSP70(598/9),Unkn,C,NTC1_ctenidia,,31.17211055,31.17211055,NT,110.9073433
A02,FAM,Cg_HSP70(598/9),Unkn,C,NTC2_ctenidia,,28.91862536,28.91862536,NT,529.30993
A03,FAM,Cg_HSP70(598/9),Unkn,H,NTH1_ctenidia,,29.76429619,29.76429619,NT,294.4380871
A04,FAM,Cg_HSP70(598/9),Unkn,H,NTH2_ctenidia,,29.62659647,29.62659647,NT,323.9434053
A05,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM1_ctenidia,,27.90717863,27.90717863,NT,1067.475206
A06,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM2_ctenidia,,29.5377203,29.5377203,NT,344.5392037
A07,FAM,Cg_HSP70(598/9),Unkn,M,NTM1_ctenidia,,31.83402252,31.83402252,NT,70.07972952
A08,FAM,Cg_HSP70(598/9),Unkn,M,NTM2_ctendia,,31.26353345,31.26353345,NT,104.0935272
A09,FAM,Cg_HSP70(598/9),Unkn,C,TC1_ctenidia,,30.45214926,30.45214926,T,182.7311733
A10,FAM,Cg_HSP70(598/9),Unkn,C,TC2_ctendia,,29.74528379,29.74528379,T,298.3462081
A11,FAM,Cg_HSP70(598/9),Unkn,H,TH1_ctenidia,,32.16981553,32.16981553,T,55.52026909
A12,FAM,Cg_HSP70(598/9),Unkn,H,TH2_ctenidia,,29.89659721,29.89659721,T,268.6240672
B01,FAM,Cg_HSP70(598/9),Unkn,HM,THM1_ctenidia,,31.08466786,31.08466786,T,117.8414399
B02,FAM,Cg_HSP70(598/9),Unkn,HM,THM2_ctenidia,,30.36092225,30.36092225,T,194.6660507
B03,FAM,Cg_HSP70(598/9),Unkn,M,TM1_ctendia,,31.4482671,31.4482671,T,91.57605897
B04,FAM,Cg_HSP70(598/9),Unkn,M,TM2_ctenidia,,30.64174275,30.64174275,T,160.2164423
C01,FAM,Cg_HSP90(1532/3),Unkn,C,NTC1_ctenidia,,26.62238668,26.62238668,NT,2602.178786
C02,FAM,Cg_HSP90(1532/3),Unkn,C,NTC2_ctenidia,,26.50527552,26.50527552,NT,2822.350934
C03,FAM,Cg_HSP90(1532/3),Unkn,H,NTH1_ctenidia,,25.68764069,25.68764069,NT,4976.025808
C04,FAM,Cg_HSP90(1532/3),Unkn,H,NTH2_ctenidia,,26.84398982,26.84398982,NT,2231.46596
C05,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM1_ctenidia,,26.12292212,26.12292212,NT,3679.390286
C06,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM2_ctenidia,,26.45768875,26.45768875,NT,2917.051849
C07,FAM,Cg_HSP90(1532/3),Unkn,M,NTM1_ctenidia,,26.90644114,26.90644114,NT,2136.878988
C08,FAM,Cg_HSP90(1532/3),Unkn,M,NTM2_ctendia,,26.3837508,26.3837508,NT,3070.536463
C09,FAM,Cg_HSP90(1532/3),Unkn,C,TC1_ctenidia,,27.55742956,27.55742956,T,1360.511498
C10,FAM,Cg_HSP90(1532/3),Unkn,C,TC2_ctendia,,25.24229656,25.24229656,T,6776.731457
C11,FAM,Cg_HSP90(1532/3),Unkn,H,TH1_ctenidia,,27.02948332,27.02948332,T,1962.093161
C12,FAM,Cg_HSP90(1532/3),Unkn,H,TH2_ctenidia,,26.79132442,26.79132442,T,2314.478148
D01,FAM,Cg_HSP90(1532/3),Unkn,HM,THM1_ctenidia,,25.69559761,25.69559761,T,4948.64158
D02,FAM,Cg_HSP90(1532/3),Unkn,HM,THM2_ctenidia,,26.75601428,26.75601428,T,2371.856984
D03,FAM,Cg_HSP90(1532/3),Unkn,M,TM1_ctendia,,25.25407671,25.25407671,T,6721.59119
E01,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC1_ctenidia,,31.38620743,31.38620743,NT,95.60361671
E02,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC2_ctenidia,,33.24982264,33.24982264,NT,26.2514575
E03,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH1_ctenidia,,32.02704598,32.02704598,NT,61.29905097
E04,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH2_ctenidia,,31.81852513,31.81852513,NT,70.83701152
E05,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM1_ctenidia,,32.7667315,32.7667315,NT,36.69952745
E06,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM2_ctenidia,,32.02513601,32.02513601,NT,61.38030382
E07,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM1_ctenidia,,30.3307762,30.3307762,NT,198.7788659
E08,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM2_ctendia,,32.28304381,32.28304381,NT,51.32715641
E09,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC1_ctenidia,,34.76868977,34.76868977,T,9.155259135
E10,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC2_ctendia,,32.72683967,32.72683967,T,37.72905186
E11,FAM,Cg_VIPERIN(1828/9),Unkn,H,TH1_ctenidia,,34.37338666,34.37338666,T,12.04303471
E12,FAM,Cg_VIPERIN(1828/9),Unkn,H,TH2_ctenidia,,32.3652898,32.3652898,T,48.48135085
F01,FAM,Cg_VIPERIN(1828/9),Unkn,HM,THM1_ctenidia,,32.31367279,32.31367279,T,50.24834424
F02,FAM,Cg_VIPERIN(1828/9),Unkn,HM,THM2_ctenidia,,33.17865719,33.17865719,T,27.5796312
F03,FAM,Cg_VIPERIN(1828/9),Unkn,M,TM1_ctendia,,32.40820826,32.40820826,T,47.05953939
F04,FAM,Cg_VIPERIN(1828/9),Unkn,M,TM2_ctenidia,,32.2629539,32.2629539,T,52.04730962
