Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,CqMean,History
A01,SYBR,Cg_18s(1408/9),Unkn,NTC1_ctenidia,,21.86330877,21.86330877,NT
A02,SYBR,Cg_18s(1408/9),Unkn,NTC2_ctenidia,,19.41253351,19.41253351,NT
A03,SYBR,Cg_18s(1408/9),Unkn,NTH1_ctenidia,,20.13402251,20.13402251,NT
A04,SYBR,Cg_18s(1408/9),Unkn,NTH2_ctenidia,,20.20030281,20.20030281,NT
A05,SYBR,Cg_18s(1408/9),Unkn,NTHM1_ctenidia,,20.65186347,20.65186347,NT
A06,SYBR,Cg_18s(1408/9),Unkn,NTHM2_ctenidia,,20.34020899,20.34020899,NT
A07,SYBR,Cg_18s(1408/9),Unkn,NTM1_ctenidia,,21.65945565,21.65945565,NT
A08,SYBR,Cg_18s(1408/9),Unkn,NTM2_ctendia,,19.97154035,19.97154035,NT
A09,SYBR,Cg_18s(1408/9),Unkn,TC1_ctenidia,,20.68993623,20.68993623,T
A10,SYBR,Cg_18s(1408/9),Unkn,TC2_ctendia,,20.68528157,20.68528157,T
A11,SYBR,Cg_18s(1408/9),Unkn,TH1_ctenidia,,22.67310771,22.67310771,T
A12,SYBR,Cg_18s(1408/9),Unkn,TH2_ctenidia,,21.86291505,21.86291505,T
B01,SYBR,Cg_18s(1408/9),Unkn,THM1_ctenidia,,25.61592417,25.61592417,T
B02,SYBR,Cg_18s(1408/9),Unkn,THM2_ctenidia,,22.36287451,22.36287451,T
B03,SYBR,Cg_18s(1408/9),Unkn,TM1_ctendia,,21.58476344,21.58476344,T
B04,SYBR,Cg_18s(1408/9),Unkn,TM2_ctenidia,,21.2996482,21.2996482,T
C01,SYBR,Cg_Actin(1170/1),Unkn,NTC1_ctenidia,,21.26451974,21.26451974,NT
C02,SYBR,Cg_Actin(1170/1),Unkn,NTC2_ctenidia,,21.12724131,21.12724131,NT
C03,SYBR,Cg_Actin(1170/1),Unkn,NTH1_ctenidia,,21.37720822,21.37720822,NT
C04,SYBR,Cg_Actin(1170/1),Unkn,NTH2_ctenidia,,22.02790877,22.02790877,NT
C05,SYBR,Cg_Actin(1170/1),Unkn,NTHM1_ctenidia,,21.0417136,21.0417136,NT
C06,SYBR,Cg_Actin(1170/1),Unkn,NTHM2_ctenidia,,21.06744394,21.06744394,NT
C07,SYBR,Cg_Actin(1170/1),Unkn,NTM1_ctenidia,,20.76867392,20.76867392,NT
C08,SYBR,Cg_Actin(1170/1),Unkn,NTM2_ctendia,,21.34937979,21.34937979,NT
C09,SYBR,Cg_Actin(1170/1),Unkn,TC1_ctenidia,,22.95030219,22.95030219,T
C10,SYBR,Cg_Actin(1170/1),Unkn,TC2_ctendia,,21.55511977,21.55511977,T
C11,SYBR,Cg_Actin(1170/1),Unkn,TH1_ctenidia,,21.30952166,21.30952166,T
